9base 6-4
patch 2.7.1-2
pavucontrol-gtk2 2.0-3
pciutils 3.2.0-3
pcmanfm 1.1.2-2
pcmciautils 018-7
percona-server 5.5.33_rel31.1-1
perl 5.18.1-1
perl-convert-uu 0.5201-1
perl-file-mimeinfo 0.18-1
perl-text-vimcolor 0.23-2
perl-xml-twig 3.44-1
phantomjs 1.9.2-1
pickyfont-git 20101027-1
pjsip 2.1-2
pkg-config 0.28-1
pkgfile 10-1
pm-utils 1.4.1-6
ponymix-git 1.2.g60328ca-1
postgresql 9.2.4-2
ppp 2.4.5-8
procps-ng 3.3.8-3
psmisc 22.20-1
pulseaudio-alsa 2-2
pulseaudio_ctl 1.11-2
pv 1.4.6-1
python-markdown 2.3.1-2
python-markdown2 1.0.1.17-3
python2-imaging 1.1.7-8
python2-iwscan 20090609-4
python2-markdown 2.3.1-2
python2-notify2 0.3-1
python2-wpactrl 20090609-4
python2-xlib 0.15rc1-6
quickserve 2013.5-1
r-ggplot2 0.9.3.1-1
r-labeling 0.2-3
r-munsell 0.4.2-3
rb-inotify 0.8.5-3
redis 2.6.16-2
redis-munin-git 20130321-1
reiserfsprogs 3.6.24-1
reptyr-git 20130107-1
resty 2.2-1
rhash 1.2.10-1
rlwrap 0.37-2
rsync 3.0.9-6
ruby 2.0.0_p247-3
ruby-albino 1.3.3-4
ruby-bundler 1.3.5-1
ruby-coderay 1.0.9-1
ruby-kramdown 1.0.2-1
ruby-pry 0.9.12.2-1
ruby-ronn 0.7.3-2
ruby-sass 3.2.10-1
rumor 1.0.4-1
rxvt-unicode-256xresources 9.18-1
scour 0.26-1
screenfetch-git 20130409-1
screenkey 0.2-5
seahorse 3.8.2-1
sed 4.2.2-3
sgrep 1.94a-1
shadow 4.1.5.1-6
sharutils 4.13.5-1
shellex-git 0.1-1
shuffle 1.5-4
shunit2 2.1.6-7
shutter 0.90.1-1
siege 3.0.4-1
simple-mtpfs 0.1-3
simplescreenrecorder 0.1.0-1
sl 5.0-2
slim 1.3.5-3
slim-themes 1.2.3-6
smplayer 0.8.6-1
statnot 0.0.4-2
stderred-git 20120710-1
strace 4.8-1
sudo 1.8.7-1
svg2png 0.1.3-7
synfigstudio 0.64.0-1
sysfsutils 2.1.0-8
syslinux 4.07-1
syspeek-xfce 0.2-1
system-config-printer 1.4.1-3
systemd-sysvcompat 207-5
systemd-ui-git 20121223-1
t1utils 1.37-1
tamsynmod 1.7-1
tamzen-font-git 17.ee7f64d-1
tar 1.26-4
termsyn 1.8.7-1
texinfo 5.1-1
thunar 1.6.3-1
tig 1.2.1-1
tiv 2013.2.23-2
tmux-git 20130503-1
toilet 0.3-1
toilet-fonts 1.0-2
transmission-cli 2.82-1
transmission-gtk 2.82-1
tree 1.6.0-2
ttf-anka-coder 1.100-1
ttf-droid-monovar 1.0-4
ttf-georgewilliams 1.0-1
ttf-google-fonts-git 20130630-1
ttf-microsoft-consolas 5.32-1
ttf-monaco 5.1-2
ttf-ms-webfonts 2.0-3
ttf-tahoma 1:1.5.9-1
tumbler 0.1.29-1
tuxguitar 1.2-6
twmn-git 134.9f52882-2
unoconv 0.6-3
urxvt-font-size-git 10-1
urxvt-perls-git 104.adacf79-1
urxvt-tabbedex-git 20130614-1
urxvtcd 2-2
usbutils 007-1
util-linux 2.23.2-1
uzbl-browser 2012.05.14-2
vagrant 1.3.1-1
versionary-git 20130619-1
vi 1:050325-3
vim 7.4.16-2
vim-colortest 0.1-1
vim-nginx 0.3.3-5
virtualbox 4.2.18-1
virtualbox-ext-oracle 4.2.18-1
vitabs-git 20110806-1
volti 0.2.3-2
volumeicon-pulsefix 20130405_2-1
w3m 0.5.3-4
wakeupneo 1.1-1
weatherspect 1.11-1
which 2.20-6
whois 5.0.26-1
wicd 1.7.2.4-9
wicd-eduroam 2-1
wicd-gtk 1.7.2.4-9
wireless_tools 29-8
wkhtmltoimage-static 0.10.0_rc2-2
words 2.1-1
wow-2-themes 20121229-3
wpa_actiond 1.4-2
wpa_supplicant 2.0-4
wxcam 1.1-1
xclip 0.12-3
xcursor-silver-3d 0.4-1
xdg-user-dirs 0.15-1
xdg-utils-mimeo 1.1.0.git20130520-1
xdot 0.5-1
xdotool 2.20110530.1-3
xf86-input-evdev 2.8.1-1
xf86-input-joystick 1.6.2-2
xf86-input-keyboard 1.7.0-1
xf86-input-mouse 1.9.0-1
xf86-input-synaptics 1.7.1-1
xf86-input-vmmouse 13.0.0-2
xf86-input-void 1.4.0-5
xf86-video-ark 0.7.5-3
xf86-video-ast 0.97.0-3
xf86-video-ati 1:7.2.0-1
xf86-video-cirrus 1.5.2-2
xf86-video-dummy 0.3.7-1
xf86-video-fbdev 0.4.3-3
xf86-video-glint 1.2.8-3
xf86-video-i128 1.3.6-3
xf86-video-intel 2.21.15-1
xf86-video-mach64 6.9.4-2
xf86-video-mga 1.6.2-3
xf86-video-modesetting 0.8.0-1
xf86-video-neomagic 1.2.8-1
xf86-video-nouveau 1.0.9-1
xf86-video-nv 2.1.20-3
xf86-video-openchrome 0.3.3-2
xf86-video-r128 6.9.1-4
xf86-video-savage 2.3.6-4
xf86-video-siliconmotion 1.7.7-3
xf86-video-sis 0.10.7-4
xf86-video-tdfx 1.4.5-3
xf86-video-trident 1.3.6-4
xf86-video-v4l 0.2.0-12
xf86-video-vesa 2.3.2-3
xf86-video-vmware 13.0.1-1
xf86-video-voodoo 1.2.5-3
xfce4-fsguard-plugin 1.0.1-1
xfce4-multiload-nandhp-plugin-git 20130612-1
xfce4-netload-plugin 1.2.0-1
xfce4-notifyd 0.2.4-1
xfce4-systemload-plugin 1.1.1-1
xfce4-taskmanager 1.0.0-3
xfce4-xfapplet-plugin 0.1.0-8
xfsprogs 3.1.11-1
xorg-bdftopcf 1.0.4-1
xorg-docs 1.7-1
xorg-font-util 1.3.0-1
xorg-fonts-100dpi 1.0.1-4
xorg-fonts-75dpi 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-iceauth 1.0.6-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-server 1.14.3-1
xorg-sessreg 1.0.8-1
xorg-setxkbmap 1.3.0-1
xorg-smproxy 1.0.5-1
xorg-x11perf 1.5.4-1
xorg-xauth 1.0.7-1
xorg-xbacklight 1.2.0-1
xorg-xclock 1.0.7-1
xorg-xcmsdb 1.0.4-1
xorg-xcursorgen 1.0.5-2
xorg-xdpyinfo 1.3.1-1
xorg-xdriinfo 1.0.4-3
xorg-xev 1.2.1-1
xorg-xfontsel 1.0.5-1
xorg-xgamma 1.0.5-1
xorg-xhost 1.0.6-1
xorg-xinit 1.3.3-1
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-1
xorg-xkbevd 1.1.3-1
xorg-xkbutils 1.0.4-1
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.1-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.8-1
xorg-xpr 1.0.4-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.4.1-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-1
xorg-xvinfo 1.1.2-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-1
xosd 2.2.14-5
xpdf 3.03-4
xterm 297-1
xtermcontrol 2.10-2
xtrabackup 2.1.4-1
yaourt 1.3-1
yaourt-gui 1.0-1
yed 3.11-1
zgrviewer 0.8.2-1
zip 3.0-3
zsh 5.0.2-4
zsh-syntax-highlighting 0.2.0-1
zsh-yaourt 20110503-1
